input_path,input_name,root_path,group_id,tile_count,pixel_size_um,current_total_ms,hybrid_total_ms,speedup_vs_current,hybrid_edge_count,hybrid_fft_edges,hybrid_lvp_fallback_edges,hybrid_fallback_reasons,current_output_path,hybrid_output_path,edge_decisions_path,visual_path,mae_vs_current,rmse_vs_current,nrmse_vs_current
/Users/mariamhusain/Desktop/etaluma/LumaViewPro/stitching_benchmarking/actual_tile_Data/20260611_074617,20260611_074617,/Users/mariamhusain/Desktop/etaluma/LumaViewPro/stitching_benchmarking/actual_tile_Data/20260611_074617,Scan_Count-0__Z-Slice--1__Well-A1__Color-BF__Objective-10x_Oly__Tile_Group_ID-0__Custom_Step-False,16,0.7531380753138076,6590.610374929383,406.3487499952316,16.21909843455092,15,15,0,{},stitching_benchmarking/actual_tile_runs/20260611_074617/Scan_Count-0__Z-Slice--1__Well-A1__Color-BF__Objective-10x_Oly__Tile_Group_ID-0__Custom_Step-False/current_lvp_overlap.tiff,stitching_benchmarking/actual_tile_runs/20260611_074617/Scan_Count-0__Z-Slice--1__Well-A1__Color-BF__Objective-10x_Oly__Tile_Group_ID-0__Custom_Step-False/hybrid_fft_lvp.tiff,stitching_benchmarking/actual_tile_runs/20260611_074617/Scan_Count-0__Z-Slice--1__Well-A1__Color-BF__Objective-10x_Oly__Tile_Group_ID-0__Custom_Step-False/hybrid_edge_decisions.csv,stitching_benchmarking/actual_tile_runs/20260611_074617/Scan_Count-0__Z-Slice--1__Well-A1__Color-BF__Objective-10x_Oly__Tile_Group_ID-0__Custom_Step-False/comparison.png,1723.980356336784,3127.048386592971,0.15314267148411875
/Users/mariamhusain/Desktop/etaluma/LumaViewPro/stitching_benchmarking/actual_tile_Data/20260611_074617,20260611_074617,/Users/mariamhusain/Desktop/etaluma/LumaViewPro/stitching_benchmarking/actual_tile_Data/20260611_074617,Scan_Count-0__Z-Slice--1__Well-A2__Color-BF__Objective-10x_Oly__Tile_Group_ID-1__Custom_Step-False,16,0.7531380753138076,6688.159292098135,415.3957918751985,16.100691010629028,15,15,0,{},stitching_benchmarking/actual_tile_runs/20260611_074617/Scan_Count-0__Z-Slice--1__Well-A2__Color-BF__Objective-10x_Oly__Tile_Group_ID-1__Custom_Step-False/current_lvp_overlap.tiff,stitching_benchmarking/actual_tile_runs/20260611_074617/Scan_Count-0__Z-Slice--1__Well-A2__Color-BF__Objective-10x_Oly__Tile_Group_ID-1__Custom_Step-False/hybrid_fft_lvp.tiff,stitching_benchmarking/actual_tile_runs/20260611_074617/Scan_Count-0__Z-Slice--1__Well-A2__Color-BF__Objective-10x_Oly__Tile_Group_ID-1__Custom_Step-False/hybrid_edge_decisions.csv,stitching_benchmarking/actual_tile_runs/20260611_074617/Scan_Count-0__Z-Slice--1__Well-A2__Color-BF__Objective-10x_Oly__Tile_Group_ID-1__Custom_Step-False/comparison.png,1610.3157293783486,2788.0395369814228,0.13770689992472407
/Users/mariamhusain/Desktop/etaluma/LumaViewPro/stitching_benchmarking/actual_tile_Data/20260611_075609,20260611_075609,/Users/mariamhusain/Desktop/etaluma/LumaViewPro/stitching_benchmarking/actual_tile_Data/20260611_075609,Scan_Count-0__Z-Slice--1__Well-A1__Color-Green__Objective-40x_w_collar__Tile_Group_ID-0__Custom_Step-False,16,0.1882845188284519,7165.218082955107,819.6009588427842,8.742325159150454,15,15,0,"{""forced_fft_correction_too_large"": 13}",stitching_benchmarking/actual_tile_runs/20260611_075609/Scan_Count-0__Z-Slice--1__Well-A1__Color-Green__Objective-40x_w_collar__Tile_Group_ID-0__Custom_Step-False/current_lvp_overlap.tiff,stitching_benchmarking/actual_tile_runs/20260611_075609/Scan_Count-0__Z-Slice--1__Well-A1__Color-Green__Objective-40x_w_collar__Tile_Group_ID-0__Custom_Step-False/hybrid_fft_lvp.tiff,stitching_benchmarking/actual_tile_runs/20260611_075609/Scan_Count-0__Z-Slice--1__Well-A1__Color-Green__Objective-40x_w_collar__Tile_Group_ID-0__Custom_Step-False/hybrid_edge_decisions.csv,stitching_benchmarking/actual_tile_runs/20260611_075609/Scan_Count-0__Z-Slice--1__Well-A1__Color-Green__Objective-40x_w_collar__Tile_Group_ID-0__Custom_Step-False/comparison.png,867.7841706731527,3162.922632486449,0.759703162439174
/Users/mariamhusain/Desktop/etaluma/LumaViewPro/stitching_benchmarking/actual_tile_Data/20260611_075609,20260611_075609,/Users/mariamhusain/Desktop/etaluma/LumaViewPro/stitching_benchmarking/actual_tile_Data/20260611_075609,Scan_Count-0__Z-Slice--1__Well-A2__Color-Green__Objective-40x_w_collar__Tile_Group_ID-1__Custom_Step-False,16,0.1882845188284519,7230.111999902874,802.3662499617785,9.010987189761892,15,15,0,"{""forced_fft_correction_too_large"": 11, ""forced_fft_response_low"": 1}",stitching_benchmarking/actual_tile_runs/20260611_075609/Scan_Count-0__Z-Slice--1__Well-A2__Color-Green__Objective-40x_w_collar__Tile_Group_ID-1__Custom_Step-False/current_lvp_overlap.tiff,stitching_benchmarking/actual_tile_runs/20260611_075609/Scan_Count-0__Z-Slice--1__Well-A2__Color-Green__Objective-40x_w_collar__Tile_Group_ID-1__Custom_Step-False/hybrid_fft_lvp.tiff,stitching_benchmarking/actual_tile_runs/20260611_075609/Scan_Count-0__Z-Slice--1__Well-A2__Color-Green__Objective-40x_w_collar__Tile_Group_ID-1__Custom_Step-False/hybrid_edge_decisions.csv,stitching_benchmarking/actual_tile_runs/20260611_075609/Scan_Count-0__Z-Slice--1__Well-A2__Color-Green__Objective-40x_w_collar__Tile_Group_ID-1__Custom_Step-False/comparison.png,1195.6670268644896,3928.9664488493368,0.7518507995099092
/Users/mariamhusain/Desktop/etaluma/LumaViewPro/stitching_benchmarking/actual_tile_Data/20260611_075609,20260611_075609,/Users/mariamhusain/Desktop/etaluma/LumaViewPro/stitching_benchmarking/actual_tile_Data/20260611_075609,Scan_Count-0__Z-Slice--1__Well-A3__Color-Green__Objective-40x_w_collar__Tile_Group_ID-2__Custom_Step-False,16,0.1882845188284519,7151.283791055903,806.0072499793023,8.872480726742275,15,15,0,"{""forced_fft_correction_too_large"": 9}",stitching_benchmarking/actual_tile_runs/20260611_075609/Scan_Count-0__Z-Slice--1__Well-A3__Color-Green__Objective-40x_w_collar__Tile_Group_ID-2__Custom_Step-False/current_lvp_overlap.tiff,stitching_benchmarking/actual_tile_runs/20260611_075609/Scan_Count-0__Z-Slice--1__Well-A3__Color-Green__Objective-40x_w_collar__Tile_Group_ID-2__Custom_Step-False/hybrid_fft_lvp.tiff,stitching_benchmarking/actual_tile_runs/20260611_075609/Scan_Count-0__Z-Slice--1__Well-A3__Color-Green__Objective-40x_w_collar__Tile_Group_ID-2__Custom_Step-False/hybrid_edge_decisions.csv,stitching_benchmarking/actual_tile_runs/20260611_075609/Scan_Count-0__Z-Slice--1__Well-A3__Color-Green__Objective-40x_w_collar__Tile_Group_ID-2__Custom_Step-False/comparison.png,1232.7424437011719,3807.3631218137502,0.6915151611036554
/Users/mariamhusain/Desktop/etaluma/LumaViewPro/stitching_benchmarking/actual_tile_Data/20260611_075609,20260611_075609,/Users/mariamhusain/Desktop/etaluma/LumaViewPro/stitching_benchmarking/actual_tile_Data/20260611_075609,Scan_Count-0__Z-Slice--1__Well-A4__Color-Green__Objective-40x_w_collar__Tile_Group_ID-3__Custom_Step-False,2,0.1882845188284519,540.474999928847,96.36537497863173,5.608601637763492,1,1,0,"{""forced_fft_correction_too_large"": 1}",stitching_benchmarking/actual_tile_runs/20260611_075609/Scan_Count-0__Z-Slice--1__Well-A4__Color-Green__Objective-40x_w_collar__Tile_Group_ID-3__Custom_Step-False/current_lvp_overlap.tiff,stitching_benchmarking/actual_tile_runs/20260611_075609/Scan_Count-0__Z-Slice--1__Well-A4__Color-Green__Objective-40x_w_collar__Tile_Group_ID-3__Custom_Step-False/hybrid_fft_lvp.tiff,stitching_benchmarking/actual_tile_runs/20260611_075609/Scan_Count-0__Z-Slice--1__Well-A4__Color-Green__Objective-40x_w_collar__Tile_Group_ID-3__Custom_Step-False/hybrid_edge_decisions.csv,stitching_benchmarking/actual_tile_runs/20260611_075609/Scan_Count-0__Z-Slice--1__Well-A4__Color-Green__Objective-40x_w_collar__Tile_Group_ID-3__Custom_Step-False/comparison.png,1592.0804321277708,4099.113400465671,0.4006686866262248
