from_tile_index,to_tile_index,from_x_px,from_y_px,to_x_px,to_y_px,method,fft_response,fft_corr_x_px,fft_corr_y_px,used_corr_x_px,used_corr_y_px,fallback_reason,fft_ms,lvp_fallback_ms
3,2,0,0,1609,0,fft,0.8599448284573025,11,0,11,0,,19.591999938711524,0.0
3,7,0,0,0,1609,fft,0.9077006544537014,-1,3,-1,3,,19.258375046774745,0.0
2,1,1609,0,3218,0,fft,0.9174944282902612,6,0,6,0,,19.841583911329508,0.0
2,6,1609,0,1609,1609,fft,0.9019549823337131,-1,3,-1,3,,18.582291901111603,0.0
7,11,0,1609,0,3218,fft,0.8261944744322035,-1,10,-1,10,,17.93666696175933,0.0
1,0,3218,0,4827,0,fft,0.8031836839252048,4,0,4,0,,20.902999909594655,0.0
1,5,3218,0,3218,1609,fft,0.7171621233622233,-1,3,-1,3,,17.119500087574124,0.0
6,10,1609,1609,1609,3218,fft,0.7679593479898241,-1,9,-1,9,,18.716624937951565,0.0
11,15,0,3218,0,4827,fft,0.9401898907555474,0,9,0,9,,17.12387497536838,0.0
0,4,4827,0,4827,1609,fft,0.7250041247473823,-1,3,-1,3,,17.217291984707117,0.0
5,9,3218,1609,3218,3218,fft,0.8131835364235772,-1,9,-1,9,,19.446125021204352,0.0
10,14,1609,3218,1609,4827,fft,0.8757640837298499,0,9,0,9,,16.946790972724557,0.0
4,8,4827,1609,4827,3218,fft,0.8599687474568685,-1,9,-1,9,,18.702457891777158,0.0
9,13,3218,3218,3218,4827,fft,0.8820898759629991,0,8,0,8,,17.948250053450465,0.0
8,12,4827,3218,4827,4827,fft,0.9243993875715467,0,8,0,8,,18.020916962996125,0.0
