source_tile_id,target_tile_id,direction,expected_dx_px,expected_dy_px,dx_px,dy_px,shift_x_px,shift_y_px,confidence,method,accepted
r00_c00,r00_c01,right,72.0,0.0,71.00069138353777,1.8431286984994273,-0.9993086164622333,1.8431286984994273,0.976306014176872,phase_correlation,True
r00_c00,r01_c00,down,0.0,72.0,1.055969169585346,71.32185431923281,1.055969169585346,-0.6781456807671802,0.13017689209017488,phase_correlation,True
r00_c01,r01_c01,down,0.0,72.0,4.053964573310282,67.06269713136237,4.053964573310282,-4.937302868637634,0.9934682504584392,phase_correlation,True
r01_c00,r01_c01,right,72.0,0.0,71.01788378053622,1.7147125833220684,-0.98211621946378,1.7147125833220684,0.4459471574260129,phase_correlation,True
