Name,X,Y,Z,Channel,Illumination,Gain,Auto_Gain,Exposure
,41.38,29.240000000000002,2265.7298,1.0,310.0,7.4,,265.07
,41.38,29.240000000000002,2265.7298,2.0,535.0,0.0,,100.0
,50.38,29.240000000000002,3012.2332,3.0,435.0,11.3,,277.12
,50.38,29.240000000000002,2265.7298,0.0,225.0,13.9,,325.31
,50.38,29.240000000000002,2265.7298,1.0,310.0,7.4,,265.07
,50.38,29.240000000000002,2265.7298,2.0,535.0,0.0,,100.0
,59.38,29.240000000000002,3012.2332,3.0,435.0,11.3,,277.12
,59.38,29.240000000000002,2265.7298,0.0,225.0,13.9,,325.31
,59.38,29.240000000000002,2265.7298,1.0,310.0,7.4,,265.07
,59.38,29.240000000000002,2265.7298,2.0,535.0,0.0,,100.0
,68.38,29.240000000000002,3012.2332,3.0,435.0,11.3,,277.12
,68.38,29.240000000000002,2265.7298,0.0,225.0,13.9,,325.31
,68.38,29.240000000000002,2265.7298,1.0,310.0,7.4,,265.07
,68.38,29.240000000000002,2265.7298,2.0,535.0,0.0,,100.0
,77.38,29.240000000000002,3012.2332,3.0,435.0,11.3,,277.12
,77.38,29.240000000000002,2265.7298,0.0,225.0,13.9,,325.31
,77.38,29.240000000000002,2265.7298,1.0,310.0,7.4,,265.07
,77.38,29.240000000000002,2265.7298,2.0,535.0,0.0,,100.0
,86.38,29.240000000000002,3012.2332,3.0,435.0,11.3,,277.12
,86.38,29.240000000000002,2265.7298,0.0,225.0,13.9,,325.31
,86.38,29.240000000000002,2265.7298,1.0,310.0,7.4,,265.07
,86.38,29.240000000000002,2265.7298,2.0,535.0,0.0,,100.0
,95.38,29.240000000000002,3012.2332,3.0,435.0,11.3,,277.12
,95.38,29.240000000000002,2265.7298,0.0,225.0,13.9,,325.31
,95.38,29.240000000000002,2265.7298,1.0,310.0,7.4,,265.07
,95.38,29.240000000000002,2265.7298,2.0,535.0,0.0,,100.0
,104.38,29.240000000000002,3012.2332,3.0,435.0,11.3,,277.12
,104.38,29.240000000000002,2265.7298,0.0,225.0,13.9,,325.31
,104.38,29.240000000000002,2265.7298,1.0,310.0,7.4,,265.07
,104.38,29.240000000000002,2265.7298,2.0,535.0,0.0,,100.0
,113.38,29.240000000000002,3012.2332,3.0,435.0,11.3,,277.12
,113.38,29.240000000000002,2265.7298,0.0,225.0,13.9,,325.31
,113.38,29.240000000000002,2265.7298,1.0,310.0,7.4,,265.07
,113.38,29.240000000000002,2265.7298,2.0,535.0,0.0,,100.0
,113.38,38.24,3012.2332,3.0,435.0,11.3,,277.12
,113.38,38.24,2265.7298,0.0,225.0,13.9,,325.31
,113.38,38.24,2265.7298,1.0,310.0,7.4,,265.07
,113.38,38.24,2265.7298,2.0,535.0,0.0,,100.0
,104.38,38.24,3012.2332,3.0,435.0,11.3,,277.12
,104.38,38.24,2265.7298,0.0,225.0,13.9,,325.31
,104.38,38.24,2265.7298,1.0,310.0,7.4,,265.07
,104.38,38.24,2265.7298,2.0,535.0,0.0,,100.0
,95.38,38.24,3012.2332,3.0,435.0,11.3,,277.12
,95.38,38.24,2265.7298,0.0,225.0,13.9,,325.31
,95.38,38.24,2265.7298,1.0,310.0,7.4,,265.07
,95.38,38.24,2265.7298,2.0,535.0,0.0,,100.0
,86.38,38.24,3012.2332,3.0,435.0,11.3,,277.12
,86.38,38.24,2265.7298,0.0,225.0,13.9,,325.31
,86.38,38.24,2265.7298,1.0,310.0,7.4,,265.07
,86.38,38.24,2265.7298,2.0,535.0,0.0,,100.0
,77.38,38.24,3012.2332,3.0,435.0,11.3,,277.12
,77.38,38.24,2265.7298,0.0,225.0,13.9,,325.31
,77.38,38.24,2265.7298,1.0,310.0,7.4,,265.07
,77.38,38.24,2265.7298,2.0,535.0,0.0,,100.0
,68.38,38.24,3012.2332,3.0,435.0,11.3,,277.12
,68.38,38.24,2265.7298,0.0,225.0,13.9,,325.31
,68.38,38.24,2265.7298,1.0,310.0,7.4,,265.07
,68.38,38.24,2265.7298,2.0,535.0,0.0,,100.0
,59.38,38.24,3012.2332,3.0,435.0,11.3,,277.12
,59.38,38.24,2265.7298,0.0,225.0,13.9,,325.31
,59.38,38.24,2265.7298,1.0,310.0,7.4,,265.07
,59.38,38.24,2265.7298,2.0,535.0,0.0,,100.0
,50.38,38.24,3012.2332,3.0,435.0,11.3,,277.12
,50.38,38.24,2265.7298,0.0,225.0,13.9,,325.31
,50.38,38.24,2265.7298,1.0,310.0,7.4,,265.07
,50.38,38.24,2265.7298,2.0,535.0,0.0,,100.0
,41.38,38.24,3012.2332,3.0,435.0,11.3,,277.12
,41.38,38.24,2265.7298,0.0,225.0,13.9,,325.31
,41.38,38.24,2265.7298,1.0,310.0,7.4,,265.07
,41.38,38.24,2265.7298,2.0,535.0,0.0,,100.0
,32.38,38.24,3012.2332,3.0,435.0,11.3,,277.12
,32.38,38.24,2265.7298,0.0,225.0,13.9,,325.31
,32.38,38.24,2265.7298,1.0,310.0,7.4,,265.07
,32.38,38.24,2265.7298,2.0,535.0,0.0,,100.0
,23.380000000000003,38.24,3012.2332,3.0,435.0,11.3,,277.12
,23.380000000000003,38.24,2265.7298,0.0,225.0,13.9,,325.31
,23.380000000000003,38.24,2265.7298,1.0,310.0,7.4,,265.07
,23.380000000000003,38.24,2265.7298,2.0,535.0,0.0,,100.0
,14.38,38.24,3012.2332,3.0,435.0,11.3,,277.12
,14.38,38.24,2265.7298,0.0,225.0,13.9,,325.31
,14.38,38.24,2265.7298,1.0,310.0,7.4,,265.07
,14.38,38.24,2265.7298,2.0,535.0,0.0,,100.0
,14.38,47.24,3012.2332,3.0,435.0,11.3,,277.12
,14.38,47.24,2265.7298,0.0,225.0,13.9,,325.31
,14.38,47.24,2265.7298,1.0,310.0,7.4,,265.07
,14.38,47.24,2265.7298,2.0,535.0,0.0,,100.0
,23.380000000000003,47.24,3012.2332,3.0,435.0,11.3,,277.12
,23.380000000000003,47.24,2265.7298,0.0,225.0,13.9,,325.31
,23.380000000000003,47.24,2265.7298,1.0,310.0,7.4,,265.07
,23.380000000000003,47.24,2265.7298,2.0,535.0,0.0,,100.0
,32.38,47.24,3012.2332,3.0,435.0,11.3,,277.12
,32.38,47.24,2265.7298,0.0,225.0,13.9,,325.31
,32.38,47.24,2265.7298,1.0,310.0,7.4,,265.07
,32.38,47.24,2265.7298,2.0,535.0,0.0,,100.0
,41.38,47.24,3012.2332,3.0,435.0,11.3,,277.12
,41.38,47.24,2265.7298,0.0,225.0,13.9,,325.31
,41.38,47.24,2265.7298,1.0,310.0,7.4,,265.07
,41.38,47.24,2265.7298,2.0,535.0,0.0,,100.0
,50.38,47.24,3012.2332,3.0,435.0,11.3,,277.12
,50.38,47.24,2265.7298,0.0,225.0,13.9,,325.31
,50.38,47.24,2265.7298,1.0,310.0,7.4,,265.07
,50.38,47.24,2265.7298,2.0,535.0,0.0,,100.0
,59.38,47.24,3012.2332,3.0,435.0,11.3,,277.12
,59.38,47.24,2265.7298,0.0,225.0,13.9,,325.31
,59.38,47.24,2265.7298,1.0,310.0,7.4,,265.07
,59.38,47.24,2265.7298,2.0,535.0,0.0,,100.0
,68.38,47.24,3012.2332,3.0,435.0,11.3,,277.12
,68.38,47.24,2265.7298,0.0,225.0,13.9,,325.31
,68.38,47.24,2265.7298,1.0,310.0,7.4,,265.07
,68.38,47.24,2265.7298,2.0,535.0,0.0,,100.0
,77.38,47.24,3012.2332,3.0,435.0,11.3,,277.12
,77.38,47.24,2265.7298,0.0,225.0,13.9,,325.31
,77.38,47.24,2265.7298,1.0,310.0,7.4,,265.07
,77.38,47.24,2265.7298,2.0,535.0,0.0,,100.0
,86.38,47.24,3012.2332,3.0,435.0,11.3,,277.12
,86.38,47.24,2265.7298,0.0,225.0,13.9,,325.31
,86.38,47.24,2265.7298,1.0,310.0,7.4,,265.07
,86.38,47.24,2265.7298,2.0,535.0,0.0,,100.0
,95.38,47.24,3012.2332,3.0,435.0,11.3,,277.12
,95.38,47.24,2265.7298,0.0,225.0,13.9,,325.31
,95.38,47.24,2265.7298,1.0,310.0,7.4,,265.07
,95.38,47.24,2265.7298,2.0,535.0,0.0,,100.0
,104.38,47.24,3012.2332,3.0,435.0,11.3,,277.12
,104.38,47.24,2265.7298,0.0,225.0,13.9,,325.31
,104.38,47.24,2265.7298,1.0,310.0,7.4,,265.07
,104.38,47.24,2265.7298,2.0,535.0,0.0,,100.0
,113.38,47.24,3012.2332,3.0,435.0,11.3,,277.12
,113.38,47.24,2265.7298,0.0,225.0,13.9,,325.31
,113.38,47.24,2265.7298,1.0,310.0,7.4,,265.07
,113.38,47.24,2265.7298,2.0,535.0,0.0,,100.0
,113.38,56.24,3012.2332,3.0,435.0,11.3,,277.12
,113.38,56.24,2265.7298,0.0,225.0,13.9,,325.31
,113.38,56.24,2265.7298,1.0,310.0,7.4,,265.07
,113.38,56.24,2265.7298,2.0,535.0,0.0,,100.0
,104.38,56.24,3012.2332,3.0,435.0,11.3,,277.12
,104.38,56.24,2265.7298,0.0,225.0,13.9,,325.31
,104.38,56.24,2265.7298,1.0,310.0,7.4,,265.07
,104.38,56.24,2265.7298,2.0,535.0,0.0,,100.0
,95.38,56.24,3012.2332,3.0,435.0,11.3,,277.12
,95.38,56.24,2265.7298,0.0,225.0,13.9,,325.31
,95.38,56.24,2265.7298,1.0,310.0,7.4,,265.07
,95.38,56.24,2265.7298,2.0,535.0,0.0,,100.0
,86.38,56.24,3012.2332,3.0,435.0,11.3,,277.12
,86.38,56.24,2265.7298,0.0,225.0,13.9,,325.31
,86.38,56.24,2265.7298,1.0,310.0,7.4,,265.07
,86.38,56.24,2265.7298,2.0,535.0,0.0,,100.0
,77.38,56.24,3012.2332,3.0,435.0,11.3,,277.12
,77.38,56.24,2265.7298,0.0,225.0,13.9,,325.31
,77.38,56.24,2265.7298,1.0,310.0,7.4,,265.07
,77.38,56.24,2265.7298,2.0,535.0,0.0,,100.0
,68.38,56.24,3012.2332,3.0,435.0,11.3,,277.12
,68.38,56.24,2265.7298,0.0,225.0,13.9,,325.31
,68.38,56.24,2265.7298,1.0,310.0,7.4,,265.07
,68.38,56.24,2265.7298,2.0,535.0,0.0,,100.0
,59.38,56.24,3012.2332,3.0,435.0,11.3,,277.12
,59.38,56.24,2265.7298,0.0,225.0,13.9,,325.31
,59.38,56.24,2265.7298,1.0,310.0,7.4,,265.07
,59.38,56.24,2265.7298,2.0,535.0,0.0,,100.0
,50.38,56.24,3012.2332,3.0,435.0,11.3,,277.12
,50.38,56.24,2265.7298,0.0,225.0,13.9,,325.31
,50.38,56.24,2265.7298,1.0,310.0,7.4,,265.07
,50.38,56.24,2265.7298,2.0,535.0,0.0,,100.0
,41.38,56.24,3012.2332,3.0,435.0,11.3,,277.12
,41.38,56.24,2265.7298,0.0,225.0,13.9,,325.31
,41.38,56.24,2265.7298,1.0,310.0,7.4,,265.07
,41.38,56.24,2265.7298,2.0,535.0,0.0,,100.0
,32.38,56.24,3012.2332,3.0,435.0,11.3,,277.12
,32.38,56.24,2265.7298,0.0,225.0,13.9,,325.31
,32.38,56.24,2265.7298,1.0,310.0,7.4,,265.07
,32.38,56.24,2265.7298,2.0,535.0,0.0,,100.0
,23.380000000000003,56.24,3012.2332,3.0,435.0,11.3,,277.12
,23.380000000000003,56.24,2265.7298,0.0,225.0,13.9,,325.31
,23.380000000000003,56.24,2265.7298,1.0,310.0,7.4,,265.07
,23.380000000000003,56.24,2265.7298,2.0,535.0,0.0,,100.0
,14.38,56.24,3012.2332,3.0,435.0,11.3,,277.12
,14.38,56.24,2265.7298,0.0,225.0,13.9,,325.31
,14.38,56.24,2265.7298,1.0,310.0,7.4,,265.07
,14.38,56.24,2265.7298,2.0,535.0,0.0,,100.0
,14.38,65.24,3012.2332,3.0,435.0,11.3,,277.12
,14.38,65.24,2265.7298,0.0,225.0,13.9,,325.31
,14.38,65.24,2265.7298,1.0,310.0,7.4,,265.07
,14.38,65.24,2265.7298,2.0,535.0,0.0,,100.0
,23.380000000000003,65.24,3012.2332,3.0,435.0,11.3,,277.12
,23.380000000000003,65.24,2265.7298,0.0,225.0,13.9,,325.31
,23.380000000000003,65.24,2265.7298,1.0,310.0,7.4,,265.07
,23.380000000000003,65.24,2265.7298,2.0,535.0,0.0,,100.0
,32.38,65.24,3012.2332,3.0,435.0,11.3,,277.12
,32.38,65.24,2265.7298,0.0,225.0,13.9,,325.31
,32.38,65.24,2265.7298,1.0,310.0,7.4,,265.07
,32.38,65.24,2265.7298,2.0,535.0,0.0,,100.0
,41.38,65.24,3012.2332,3.0,435.0,11.3,,277.12
,41.38,65.24,2265.7298,0.0,225.0,13.9,,325.31
,41.38,65.24,2265.7298,1.0,310.0,7.4,,265.07
,41.38,65.24,2265.7298,2.0,535.0,0.0,,100.0
,50.38,65.24,3012.2332,3.0,435.0,11.3,,277.12
,50.38,65.24,2265.7298,0.0,225.0,13.9,,325.31
,50.38,65.24,2265.7298,1.0,310.0,7.4,,265.07
,50.38,65.24,2265.7298,2.0,535.0,0.0,,100.0
,59.38,65.24,3012.2332,3.0,435.0,11.3,,277.12
,59.38,65.24,2265.7298,0.0,225.0,13.9,,325.31
,59.38,65.24,2265.7298,1.0,310.0,7.4,,265.07
,59.38,65.24,2265.7298,2.0,535.0,0.0,,100.0
,68.38,65.24,3012.2332,3.0,435.0,11.3,,277.12
,68.38,65.24,2265.7298,0.0,225.0,13.9,,325.31
,68.38,65.24,2265.7298,1.0,310.0,7.4,,265.07
,68.38,65.24,2265.7298,2.0,535.0,0.0,,100.0
,77.38,65.24,3012.2332,3.0,435.0,11.3,,277.12
,77.38,65.24,2265.7298,0.0,225.0,13.9,,325.31
,77.38,65.24,2265.7298,1.0,310.0,7.4,,265.07
,77.38,65.24,2265.7298,2.0,535.0,0.0,,100.0
,86.38,65.24,3012.2332,3.0,435.0,11.3,,277.12
,86.38,65.24,2265.7298,0.0,225.0,13.9,,325.31
,86.38,65.24,2265.7298,1.0,310.0,7.4,,265.07
,86.38,65.24,2265.7298,2.0,535.0,0.0,,100.0
,95.38,65.24,3012.2332,3.0,435.0,11.3,,277.12
,95.38,65.24,2265.7298,0.0,225.0,13.9,,325.31
,95.38,65.24,2265.7298,1.0,310.0,7.4,,265.07
,95.38,65.24,2265.7298,2.0,535.0,0.0,,100.0
,104.38,65.24,3012.2332,3.0,435.0,11.3,,277.12
,104.38,65.24,2265.7298,0.0,225.0,13.9,,325.31
,104.38,65.24,2265.7298,1.0,310.0,7.4,,265.07
,104.38,65.24,2265.7298,2.0,535.0,0.0,,100.0
,113.38,65.24,3012.2332,3.0,435.0,11.3,,277.12
,113.38,65.24,2265.7298,0.0,225.0,13.9,,325.31
,113.38,65.24,2265.7298,1.0,310.0,7.4,,265.07
,113.38,65.24,2265.7298,2.0,535.0,0.0,,100.0
,113.38,74.24,3012.2332,3.0,435.0,11.3,,277.12
,113.38,74.24,2265.7298,0.0,225.0,13.9,,325.31
,113.38,74.24,2265.7298,1.0,310.0,7.4,,265.07
,113.38,74.24,2265.7298,2.0,535.0,0.0,,100.0
,104.38,74.24,3012.2332,3.0,435.0,11.3,,277.12
,104.38,74.24,2265.7298,0.0,225.0,13.9,,325.31
,104.38,74.24,2265.7298,1.0,310.0,7.4,,265.07
,104.38,74.24,2265.7298,2.0,535.0,0.0,,100.0
,95.38,74.24,3012.2332,3.0,435.0,11.3,,277.12
,95.38,74.24,2265.7298,0.0,225.0,13.9,,325.31
,95.38,74.24,2265.7298,1.0,310.0,7.4,,265.07
,95.38,74.24,2265.7298,2.0,535.0,0.0,,100.0
,86.38,74.24,3012.2332,3.0,435.0,11.3,,277.12
,86.38,74.24,2265.7298,0.0,225.0,13.9,,325.31
,86.38,74.24,2265.7298,1.0,310.0,7.4,,265.07
,86.38,74.24,2265.7298,2.0,535.0,0.0,,100.0
,77.38,74.24,3012.2332,3.0,435.0,11.3,,277.12
,77.38,74.24,2265.7298,0.0,225.0,13.9,,325.31
,77.38,74.24,2265.7298,1.0,310.0,7.4,,265.07
,77.38,74.24,2265.7298,2.0,535.0,0.0,,100.0
,68.38,74.24,3012.2332,3.0,435.0,11.3,,277.12
,68.38,74.24,2265.7298,0.0,225.0,13.9,,325.31
,68.38,74.24,2265.7298,1.0,310.0,7.4,,265.07
,68.38,74.24,2265.7298,2.0,535.0,0.0,,100.0
,59.38,74.24,3012.2332,3.0,435.0,11.3,,277.12
,59.38,74.24,2265.7298,0.0,225.0,13.9,,325.31
,59.38,74.24,2265.7298,1.0,310.0,7.4,,265.07
,59.38,74.24,2265.7298,2.0,535.0,0.0,,100.0
,50.38,74.24,3012.2332,3.0,435.0,11.3,,277.12
,50.38,74.24,2265.7298,0.0,225.0,13.9,,325.31
,50.38,74.24,2265.7298,1.0,310.0,7.4,,265.07
,50.38,74.24,2265.7298,2.0,535.0,0.0,,100.0
,41.38,74.24,3012.2332,3.0,435.0,11.3,,277.12
,41.38,74.24,2265.7298,0.0,225.0,13.9,,325.31
,41.38,74.24,2265.7298,1.0,310.0,7.4,,265.07
,41.38,74.24,2265.7298,2.0,535.0,0.0,,100.0
,32.38,74.24,3012.2332,3.0,435.0,11.3,,277.12
,32.38,74.24,2265.7298,0.0,225.0,13.9,,325.31
,32.38,74.24,2265.7298,1.0,310.0,7.4,,265.07
,32.38,74.24,2265.7298,2.0,535.0,0.0,,100.0
,23.380000000000003,74.24,3012.2332,3.0,435.0,11.3,,277.12
,23.380000000000003,74.24,2265.7298,0.0,225.0,13.9,,325.31
,23.380000000000003,74.24,2265.7298,1.0,310.0,7.4,,265.07
,23.380000000000003,74.24,2265.7298,2.0,535.0,0.0,,100.0
,14.38,74.24,3012.2332,3.0,435.0,11.3,,277.12
,14.38,74.24,2265.7298,0.0,225.0,13.9,,325.31
,14.38,74.24,2265.7298,1.0,310.0,7.4,,265.07
,14.38,74.24,2265.7298,2.0,535.0,0.0,,100.0
