Name,X,Y,Z,Channel,Illumination,Gain,Auto_Gain,Exposure
,41.38,20.240000000000002,2265.7298,0.0,225.0,13.9,,325.31
,41.38,20.240000000000002,2265.7298,1.0,310.0,7.4,,265.07
,41.38,20.240000000000002,2265.7298,2.0,535.0,0.0,,100.0
,32.38,20.240000000000002,3012.2332,3.0,435.0,11.3,,277.12
,32.38,20.240000000000002,2265.7298,0.0,225.0,13.9,,325.31
,32.38,20.240000000000002,2265.7298,1.0,310.0,7.4,,265.07
,32.38,20.240000000000002,2265.7298,2.0,535.0,0.0,,100.0
,23.380000000000003,20.240000000000002,3012.2332,3.0,435.0,11.3,,277.12
,23.380000000000003,20.240000000000002,2265.7298,0.0,225.0,13.9,,325.31
,23.380000000000003,20.240000000000002,2265.7298,1.0,310.0,7.4,,265.07
,23.380000000000003,20.240000000000002,2265.7298,2.0,535.0,0.0,,100.0
,14.38,20.240000000000002,3012.2332,3.0,435.0,11.3,,277.12
,14.38,20.240000000000002,2265.7298,0.0,225.0,13.9,,325.31
,14.38,20.240000000000002,2265.7298,1.0,310.0,7.4,,265.07
,14.38,20.240000000000002,2265.7298,2.0,535.0,0.0,,100.0
,14.38,29.240000000000002,3012.2332,3.0,435.0,11.3,,277.12
,14.38,29.240000000000002,2265.7298,0.0,225.0,13.9,,325.31
,14.38,29.240000000000002,2265.7298,1.0,310.0,7.4,,265.07
,14.38,29.240000000000002,2265.7298,2.0,535.0,0.0,,100.0
,23.380000000000003,29.240000000000002,3012.2332,3.0,435.0,11.3,,277.12
,23.380000000000003,29.240000000000002,2265.7298,0.0,225.0,13.9,,325.31
,23.380000000000003,29.240000000000002,2265.7298,1.0,310.0,7.4,,265.07
,23.380000000000003,29.240000000000002,2265.7298,2.0,535.0,0.0,,100.0
,32.38,29.240000000000002,3012.2332,3.0,435.0,11.3,,277.12
,32.38,29.240000000000002,2265.7298,0.0,225.0,13.9,,325.31
,32.38,29.240000000000002,2265.7298,1.0,310.0,7.4,,265.07
,32.38,29.240000000000002,2265.7298,2.0,535.0,0.0,,100.0
,41.38,29.240000000000002,3012.2332,3.0,435.0,11.3,,277.12
,41.38,29.240000000000002,2265.7298,0.0,225.0,13.9,,325.31
