tile_id,metadata_x_px,metadata_y_px,x_px,y_px,placement_mode,x_int,y_int
MAX_73,0.0,0.0,7.75322163851862e-15,-4.382411546217826e-14,optimized,2,0
MAX_74,460.8,0.0,459.40031608596615,-0.26512268174663695,optimized,461,0
MAX_75,0.0,460.8,-1.527058110219033,467.81977211399857,optimized,0,468
MAX_76,460.8,460.8,458.63948005837653,466.38404669436665,optimized,461,466
MAX_77,0.0,921.6,-1.261620997316707,931.9381340525364,optimized,1,932
MAX_78,460.8,921.6,458.15545473499856,933.2806760584494,optimized,460,933
