from_tile_index,to_tile_index,from_x_px,from_y_px,to_x_px,to_y_px,method,fft_response,fft_corr_x_px,fft_corr_y_px,used_corr_x_px,used_corr_y_px,fallback_reason,fft_ms,lvp_fallback_ms
3,2,0,0,1609,0,fft,0.9587536892096201,-37,-1,-37,-1,,24.586499901488423,0.0
3,7,0,0,0,1609,fft,0.9284771445592245,-1,-43,-1,-43,,18.386834068223834,0.0
2,1,1609,0,3218,0,fft,0.9950714331732856,-18,2,-18,2,,20.73962497524917,0.0
2,6,1609,0,1609,1609,fft,0.7992708424462213,0,-41,0,-41,,20.003833109512925,0.0
7,11,0,1609,0,3218,fft,1.0279284964667426,0,-26,0,-26,,20.48125001601875,0.0
1,0,3218,0,4827,0,fft,0.7471094447241889,-44,0,-44,0,,18.739332910627127,0.0
1,5,3218,0,3218,1609,fft,0.9615554677115546,0,-42,0,-42,,18.89983401633799,0.0
6,10,1609,1609,1609,3218,fft,0.9298401256137424,0,-26,0,-26,,21.0617498960346,0.0
11,15,0,3218,0,4827,fft,0.9585638936360678,-1,-27,-1,-27,,18.907415913417935,0.0
0,4,4827,0,4827,1609,fft,0.861956296549903,-1,-41,-1,-41,,16.17587497457862,0.0
5,9,3218,1609,3218,3218,fft,0.9715223611195882,-1,-24,-1,-24,,18.765749875456095,0.0
10,14,1609,3218,1609,4827,fft,0.9088237965901693,-2,-28,-2,-28,,22.41187496110797,0.0
4,8,4827,1609,4827,3218,fft,1.0168308162689208,-1,-25,-1,-25,,17.226292053237557,0.0
9,13,3218,3218,3218,4827,fft,0.8683148840798272,-1,-29,-1,-29,,18.136332975700498,0.0
8,12,4827,3218,4827,4827,fft,0.00297663410504659,-156,-57,-156,-57,,19.661332946270704,0.0
