from_tile_index,to_tile_index,from_x_px,from_y_px,to_x_px,to_y_px,method,fft_response,fft_corr_x_px,fft_corr_y_px,used_corr_x_px,used_corr_y_px,fallback_reason,fft_ms,lvp_fallback_ms
3,2,0,0,1609,0,fft,0.8511446608437432,-18,1,-18,1,,21.76575013436377,0.0
3,7,0,0,0,1609,fft,0.7523200057347615,-2,-42,-2,-42,,17.48687494546175,0.0
2,1,1609,0,3218,0,fft,1.0897557686699761,-23,0,-23,0,,20.991249941289425,0.0
2,6,1609,0,1609,1609,fft,0.9056874728732639,-1,-40,-1,-40,,19.435999915003777,0.0
7,11,0,1609,0,3218,fft,0.8158361395994822,-1,-25,-1,-25,,20.575999980792403,0.0
1,0,3218,0,4827,0,fft,0.841692317088445,-26,0,-26,0,,19.57154111005366,0.0
1,5,3218,0,3218,1609,fft,0.859756542523702,-1,-42,-1,-42,,18.130790907889605,0.0
6,10,1609,1609,1609,3218,fft,1.0556434336768257,0,-25,0,-25,,18.59695790335536,0.0
11,15,0,3218,0,4827,fft,0.7388617743386162,6,-24,6,-24,,21.520708920434117,0.0
0,4,4827,0,4827,1609,fft,0.8778579402499729,-19,-42,-19,-42,,17.257916973903775,0.0
5,9,3218,1609,3218,3218,fft,0.9337032362620036,-1,-24,-1,-24,,19.98791703954339,0.0
10,14,1609,3218,1609,4827,fft,0.7195489915211996,5,-24,5,-24,,18.748792121186852,0.0
4,8,4827,1609,4827,3218,fft,0.6491193617714776,-1,-19,-1,-19,,20.472832955420017,0.0
9,13,3218,3218,3218,4827,fft,0.5166872166792552,-1,-29,-1,-29,,17.6082500256598,0.0
8,12,4827,3218,4827,4827,fft,0.8385981009271409,-1,-30,-1,-30,,17.81145902350545,0.0
